Lot URL,Lot/Inv #,Est. Retail value,Sale date,Year,Make,Model,Engine type,Cylinders,VIN,Title code,Odometer,Odometer description,Damage description,Current bid,My bid,Item number,Sale name,Auto grade,Sale light,Announcements
https://www.copart.com/lot/99735525/salvage-2013-ford-f150-supercrew-ks-wichita,99735525,"13,451 USD",03/16/2026 09:00 pm GMT+4,2013,FORD,F150,3.5L  6,6,1FTFW1ET1DFD82995,CERT OF TITLE-SALVAGE,"190,731 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99711765/salvage-2020-kia-telluride-s-ks-wichita,99711765,"23,782 USD",03/16/2026 09:00 pm GMT+4,2020,KIA,TELLURIDE,3.8L  6,6,5XYP6DHCXLG091229,CERT OF TITLE-SALVAGE,"50,210 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99542045/salvage-2019-chevrolet-silverado-k2500-high-country-ks-wichita,99542045,"37,913 USD",03/16/2026 09:00 pm GMT+4,2019,CHEV,SILVERADO,6.6L  8,8,1GC1KUEY0KF281902,CERT OF TITLE-SALVAGE,"166,080 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99490455/salvage-2020-kia-niro-lx-ks-wichita,99490455,"12,756 USD",03/16/2026 09:00 pm GMT+4,2020,KIA,NIRO,1.6L  4,4,KNDCB3LCXL5399702,CERT OF TITLE-SALVAGE,"154,042 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99343695/salvage-1996-toyota-camry-dx-ks-wichita,99343695,"2,105 USD",03/16/2026 09:00 pm GMT+4,1996,TOYT,CAMRY,2.2L  4,4,4T1BG12K4TU810961,CERT OF TITLE-SALVAGE,0 E,EXEMPT,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99283355/salvage-2018-jeep-cherokee-limited-ks-wichita,99283355,"16,275 USD",03/16/2026 09:00 pm GMT+4,2018,JEP,CHEROKEE,3.2L  6,6,1C4PJMDX3JD501338,CERT OF TITLE-SALVAGE,"141,613 A",ACTUAL,HAIL,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99154555/salvage-2013-ford-fusion-se-ks-wichita,99154555,"5,560 USD",03/16/2026 09:00 pm GMT+4,2013,FORD,FUSION,2.5L  4,4,3FA6P0H77DR303456,CERT OF TITLE-SALVAGE,"152,790 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99141315/salvage-2017-ford-escape-se-ks-wichita,99141315,"9,653 USD",03/16/2026 09:00 pm GMT+4,2017,FORD,ESCAPE,1.5L  4,4,1FMCU0GD1HUA16430,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99030635/salvage-2018-buick-lacrosse-premium-ks-wichita,99030635,"13,029 USD",03/16/2026 09:00 pm GMT+4,2018,BUIC,LACROSSE,2.5L  4,4,1G4ZR5SZ8JU118535,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/99000505/salvage-2016-ford-f150-supercrew-ks-wichita,99000505,"24,694 USD",03/16/2026 09:00 pm GMT+4,2016,FORD,F150,5.0L  8,8,1FTEW1EFXGFB70025,SALVAGE CERTIFICATE OF TITLE,"107,827 A",ACTUAL,FRONT END,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/98861765/salvage-2024-dodge-hornet-rt-ks-wichita,98861765,"23,454 USD",03/16/2026 09:00 pm GMT+4,2024,DODG,HORNET,1.3L  4,4,ZACPDFCW3R3A29920,CERT OF TITLE-SALVAGE,"46,192 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/98836565/salvage-2016-bmw-x3-xdrive28i-ks-wichita,98836565,"17,852 USD",03/16/2026 09:00 pm GMT+4,2016,BMW,X3,2.0L  4,4,5UXWX9C57G0D75123,CERT OF TITLE-SALVAGE,"40,156 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/98817855/salvage-2015-jeep-grand-cherokee-srt-8-ks-wichita,98817855,"27,237 USD",03/16/2026 09:00 pm GMT+4,2015,JEP,GRAND CHEROKEE,6.4L  8,8,1C4RJFDJ8FC620516,SALVAGE CERTIFICATE OF TITLE,"108,220 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/98640185/salvage-2019-buick-encore-preferred-ks-wichita,98640185,"14,449 USD",03/16/2026 09:00 pm GMT+4,2019,BUIC,ENCORE,1.4L  4,4,KL4CJASB2KB744179,CERT OF TITLE-SALVAGE,"75,930 A",ACTUAL,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/98357625/salvage-2024-toyota-rav4-le-ks-wichita,98357625,"33,044 USD",03/16/2026 09:00 pm GMT+4,2024,TOYT,RAV4,2.5L  4,4,2T3F1RFV5RW478616,CERT OF TITLE-SALVAGE,"8,733 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97888025/salvage-2018-bmw-x1-sdrive28i-ks-wichita,97888025,"17,418 USD",03/16/2026 09:00 pm GMT+4,2018,BMW,X1,2.0L  4,4,WBXHU7C36J5L09078,CERT OF TITLE-SALVAGE,"83,027 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97404375/salvage-2022-gmc-sierra-k1500-elevation-ks-wichita,97404375,"38,615 USD",03/16/2026 09:00 pm GMT+4,2022,GMC,SIERRA,2.7L  4,4,3GTPUCEKXNG516822,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,BURN - ENGINE,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97392065/salvage-2023-jeep-grand-cherokee-limited-ks-wichita,97392065,"31,069 USD",03/16/2026 09:00 pm GMT+4,2023,JEP,GRAND CHEROKEE,3.6L  6,6,1C4RJHBG7PC521626,CERT OF TITLE-SALVAGE,"79,703 A",ACTUAL,SIDE,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97300295/salvage-2024-volkswagen-tiguan-s-ks-wichita,97300295,"24,441 USD",03/16/2026 09:00 pm GMT+4,2024,VOLK,TIGUAN,2.0L  4,4,3VVRB7AX5RM072927,CERT OF TITLE-SALVAGE,"16,945 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97290585/salvage-2018-chevrolet-silverado-k1500-lt-ks-wichita,97290585,"23,054 USD",03/16/2026 09:00 pm GMT+4,2018,CHEV,SILVERADO,5.3L  8,8,3GCUKREC1JG644185,CERT OF TITLE-SALVAGE,"127,408 A",ACTUAL,SIDE,"2,350 USD",0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97149565/salvage-2023-nissan-altima-sv-ks-wichita,97149565,"20,878 USD",03/16/2026 09:00 pm GMT+4,2023,NISS,ALTIMA,2.5L  4,4,1N4BL4DVXPN324668,CERT OF TITLE-SALVAGE,"31,853 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97130245/salvage-2014-dodge-journey-sxt-ks-wichita,97130245,"4,710 USD",03/16/2026 09:00 pm GMT+4,2014,DODG,JOURNEY,2.4L  4,4,3C4PDCBB4ET180418,CERT OF TITLE-SALVAGE,"207,266 A",ACTUAL,TOP/ROOF,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97126645/salvage-2023-kia-forte-lx-ks-wichita,97126645,"18,412 USD",03/16/2026 09:00 pm GMT+4,2023,KIA,FORTE,2  L  4,4,3KPF24AD8PE623199,SALVAGE VEHICLE TITLE,0 N,NOT ACTUAL,SIDE,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97119185/salvage-2016-gmc-sierra-k1500-slt-ks-wichita,97119185,"20,417 USD",03/16/2026 09:00 pm GMT+4,2016,GMC,SIERRA,5.3L  8,8,3GTU2NEC9GG385589,CERT OF TITLE-SALVAGE,"146,698 A",ACTUAL,REAR END,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/97054065/salvage-2020-chevrolet-colorado-lt-ks-wichita,97054065,"17,888 USD",03/16/2026 09:00 pm GMT+4,2020,CHEV,COLORADO,2.5L  4,4,1GCHTCEA1L1173909,CERT OF TITLE-SALVAGE,"97,919 A",ACTUAL,ALL OVER,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/96885605/salvage-2016-honda-cr-v-ex-ks-wichita,96885605,"18,189 USD",03/16/2026 09:00 pm GMT+4,2016,HOND,CR-V,2.4L  4,4,5J6RM4H56GL109990,CERT OF TITLE-SALVAGE,"85,040 A",ACTUAL,FRONT END,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/96818645/salvage-2019-volkswagen-atlas-sel-ks-wichita,96818645,"22,673 USD",03/16/2026 09:00 pm GMT+4,2019,VOLK,ATLAS,3.6L  6,6,1V2SR2CA3KC599393,CERT OF TITLE-SALVAGE,"89,496 A",ACTUAL,FRONT END,250 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/96812585/salvage-2019-kia-soul-!-ks-wichita,96812585,"14,750 USD",03/16/2026 09:00 pm GMT+4,2019,KIA,SOUL,1.6L  4,4,KNDJX3AA4K7675692,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,BURN,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/96392865/salvage-2020-nissan-sentra-sv-ks-wichita,96392865,"17,790 USD",03/16/2026 09:00 pm GMT+4,2020,NISS,SENTRA,2.0L  4,4,3N1AB8CV3LY288579,CERT OF TITLE-SALVAGE,"41,398 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/96337335/salvage-2015-chevrolet-equinox-lt-ks-wichita,96337335,"6,544 USD",03/16/2026 09:00 pm GMT+4,2015,CHEV,EQUINOX,2.4L  4,4,2GNALBEK8F6378446,CERT OF TITLE-SALVAGE,"163,443 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/95980355/salvage-2025-kia-carnival-sx-ks-wichita,95980355,"45,310 USD",03/16/2026 09:00 pm GMT+4,2025,KIA,CARNIVAL,3.5L  6,6,KNDNE5K31S6471876,CERT OF TITLE-SALVAGE,"20,560 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/95624165/salvage-2024-nissan-altima-sr-ks-wichita,95624165,"24,720 USD",03/16/2026 09:00 pm GMT+4,2024,NISS,ALTIMA,2.5L  4,4,1N4BL4CW7RN377969,CERT OF TITLE-SALVAGE,"28,382 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/95258985/salvage-2019-honda-accord-lx-ks-wichita,95258985,"15,493 USD",03/16/2026 09:00 pm GMT+4,2019,HOND,ACCORD,1.5L  4,4,1HGCV1F1XKA035745,CERT OF TITLE-SALVAGE,"110,584 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/95219775/salvage-2006-kia-sedona-ex-ks-wichita,95219775,"3,014 USD",03/16/2026 09:00 pm GMT+4,2006,KIA,SEDONA,3.8L  6,6,KNDMB233X66041108,CERT OF TITLE-SALVAGE,"136,914 E",EXEMPT,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/95086475/salvage-2016-chevrolet-silverado-k1500-ltz-ks-wichita,95086475,"21,273 USD",03/16/2026 09:00 pm GMT+4,2016,CHEV,SILVERADO,5.3L  8,8,3GCUKSECXGG259613,CERT OF TITLE-SALVAGE,"161,980 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94711365/salvage-2024-kia-telluride-sx-ks-wichita,94711365,"40,170 USD",03/16/2026 09:00 pm GMT+4,2024,KIA,TELLURIDE,3.8L  6,6,5XYP5DGC7RG533252,CERT OF TITLE-SALVAGE,"36,151 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94658785/salvage-2015-chrysler-200-limited-ks-wichita,94658785,"6,009 USD",03/16/2026 09:00 pm GMT+4,2015,CHRY,200,2.4L  4,4,1C3CCCAB1FN713818,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94600565/salvage-2021-jeep-wrangler-unlimited-sahara-ks-wichita,94600565,"27,585 USD",03/16/2026 09:00 pm GMT+4,2021,JEP,WRANGLER UNLIMITED,3.6L  6,6,1C4HJXEG1MW555878,SALVAGE CERTIFICATE OF TITLE,0 N,NOT ACTUAL,ROLLOVER,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94582105/salvage-2015-ram-1500-longhorn-ks-wichita,94582105,"16,519 USD",03/16/2026 09:00 pm GMT+4,2015,RAM,1500,5.7L  8,8,1C6RR7PT8FS612862,CERT OF TITLE-SALVAGE,"212,462 A",ACTUAL,SIDE,200 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94465485/salvage-2015-chevrolet-camaro-lt-ks-wichita,94465485,"11,236 USD",03/16/2026 09:00 pm GMT+4,2015,CHEV,CAMARO,3.6L  6,6,2G1FF3D32F9273995,CERT OF TITLE-SALVAGE,"239,938 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94440295/salvage-2023-toyota-venza-le-ks-wichita,94440295,"26,142 USD",03/16/2026 09:00 pm GMT+4,2023,TOYT,VENZA,2.5L  4,4,JTEAAAAH4PJ126518,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94234805/salvage-2012-ford-escape-limited-ks-wichita,94234805,"8,837 USD",03/16/2026 09:00 pm GMT+4,2012,FORD,ESCAPE,3.0L  6,6,1FMCU9EG2CKA43741,PUBLIC - SALVAGE TITLE,"80,004 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94185245/salvage-2022-hyundai-tucson-blue-ks-wichita,94185245,"25,504 USD",03/16/2026 09:00 pm GMT+4,2022,HYUN,TUCSON,1.6L  4,4,KM8JBCA15NU076705,CERT OF TITLE-SALVAGE,"28,591 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/94050025/salvage-2023-hyundai-sonata-sel-ks-wichita,94050025,"20,357 USD",03/16/2026 09:00 pm GMT+4,2023,HYUN,SONATA,2.5L  4,4,KMHL64JA3PA294164,CERT OF TITLE-SALVAGE,"39,696 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93870915/salvage-2020-ford-explorer-xlt-ks-wichita,93870915,"23,068 USD",03/16/2026 09:00 pm GMT+4,2020,FORD,EXPLORER,2.3L  4,4,1FMSK8DH1LGC59119,CERT OF TITLE-SALVAGE,"98,167 A",ACTUAL,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93660575/salvage-2020-nissan-altima-s-ks-wichita,93660575,"14,181 USD",03/16/2026 09:00 pm GMT+4,2020,NISS,ALTIMA,2.5L  4,4,1N4BL4BVXLC138203,CERT OF TITLE-SALVAGE,"100,189 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93641775/salvage-2013-toyota-highlander-base-ks-wichita,93641775,"9,851 USD",03/16/2026 09:00 pm GMT+4,2013,TOYT,HIGHLANDER,2.7L  4,4,5TDZA3EH1DS036187,CERT OF TITLE-SALVAGE,"138,324 A",ACTUAL,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93534575/salvage-2015-toyota-camry-le-ks-wichita,93534575,"10,963 USD",03/16/2026 09:00 pm GMT+4,2015,TOYT,CAMRY,2.5L  4,4,4T1BF1FK2FU023685,CERT OF TITLE-SALVAGE,"147,364 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93454625/clean-title-2017-hyundai-tucson-limited-ks-wichita,93454625,"16,923 USD",03/16/2026 09:00 pm GMT+4,2017,HYUN,TUCSON,1.6L  4,4,KM8J3CA26HU348690,CERTIFICATE OF TITLE,"86,541 A",ACTUAL,HAIL,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93422615/salvage-2014-mercedes-benz-e-350-ks-wichita,93422615,"15,709 USD",03/16/2026 09:00 pm GMT+4,2014,MERZ,E,3.5L  6,6,WDDHF5KB4EA906852,SALVAGE CERTIFICATE OF TITLE,"62,872 A",ACTUAL,REAR END,"2,100 USD",0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93328815/salvage-2018-hyundai-sonata-sport-ks-wichita,93328815,"9,396 USD",03/16/2026 09:00 pm GMT+4,2018,HYUN,SONATA,2.4L  4,4,5NPE34AF1JH647079,CERT OF TITLE-SALVAGE,"175,450 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93264815/clean-title-2020-kia-telluride-sx-ks-wichita,93264815,"21,507 USD",03/16/2026 09:00 pm GMT+4,2020,KIA,TELLURIDE,3.8L  6,6,5XYP54HC1LG032198,CERTIFICATE OF TITLE,"132,312 A",ACTUAL,HAIL,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/93032715/salvage-2022-chevrolet-malibu-ls-ks-wichita,93032715,"16,145 USD",03/16/2026 09:00 pm GMT+4,2022,CHEV,MALIBU,1.5L  4,4,1G1ZC5ST1NF183490,CERT OF TITLE-SALVAGE,"115,705 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/92919295/salvage-2013-dodge-durango-crew-ks-wichita,92919295,"9,569 USD",03/16/2026 09:00 pm GMT+4,2013,DODG,DURANGO,3.6L  6,6,1C4RDJDG4DC672107,CERT OF TITLE-SALVAGE,"155,719 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/92901055/salvage-2017-nissan-maxima-3-5s-ks-wichita,92901055,"7,857 USD",03/16/2026 09:00 pm GMT+4,2017,NISS,MAXIMA,3.5L  6,6,1N4AA6AP3HC407827,SALVAGE CERTIFICATE OF TITLE,"121,907 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/92699285/salvage-2014-ford-escape-se-ks-wichita,92699285,"6,452 USD",03/16/2026 09:00 pm GMT+4,2014,FORD,ESCAPE,1.6L  4,4,1FMCU0GX0EUA45018,CERT OF TITLE-SALVAGE,"167,197 A",ACTUAL,SIDE,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/92065665/salvage-2018-ford-f150-supercrew-ks-wichita,92065665,"24,208 USD",03/16/2026 09:00 pm GMT+4,2018,FORD,F150,3.5L  6,6,1FTEW1EG5JFA31243,CERT OF TITLE-SALVAGE,"122,423 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/91686015/salvage-2023-chevrolet-silverado-k3500-ks-wichita,91686015,"43,602 USD",03/16/2026 09:00 pm GMT+4,2023,CHEV,SILVERADO,6.6L  8,8,1GC4YSE7XPF258349,CERT OF TITLE-SALVAGE,"77,005 A",ACTUAL,SIDE,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/91426985/salvage-2012-volvo-xc90-3-2-ks-wichita,91426985,"4,541 USD",03/16/2026 09:00 pm GMT+4,2012,VOLV,XC90,3.2L  6,6,YV4952CY0C1616167,CERT OF TITLE-SALVAGE,"285,159 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/91412755/salvage-2003-gmc-new-sierra-k1500-ks-wichita,91412755,"7,027 USD",03/16/2026 09:00 pm GMT+4,2003,GMC,NEW SIERRA,5.3L  8,8,1GTEK19T83E378335,CERT OF TITLE-SALVAGE,"310,432 E",EXEMPT,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/91250425/salvage-2014-ram-1500-st-ks-wichita,91250425,"10,219 USD",03/16/2026 09:00 pm GMT+4,2014,RAM,1500,5.7L  8,8,1C6RR6FT0ES458948,CERT OF TITLE-SALVAGE,"200,315 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/91142355/salvage-2003-mercury-grand-marquis-ls-ks-wichita,91142355,"3,784 USD",03/16/2026 09:00 pm GMT+4,2003,MERC,GRAND MARQUIS,4.6L  8,8,2MEFM75W43X641516,CERT OF TITLE-SALVAGE,"242,825 E",EXEMPT,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/91139815/salvage-2015-dodge-durango-limited-ks-wichita,91139815,"12,501 USD",03/16/2026 09:00 pm GMT+4,2015,DODG,DURANGO,3.6L  6,6,1C4RDJDG0FC795664,CERT OF TITLE-SALVAGE,"240,838 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/90915085/salvage-2019-hyundai-kona-ultimate-ks-wichita,90915085,"18,088 USD",03/16/2026 09:00 pm GMT+4,2019,HYUN,KONA,1.6L  4,4,KM8K53A56KU274414,CERT OF TITLE-SALVAGE,"49,226 N",NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/90124915/salvage-2010-bmw-motorrad-750-li-xdrive-ks-wichita,90124915,"8,947 USD",03/16/2026 09:00 pm GMT+4,2010,BMW,750,4.4L  8,8,WBAKC8C54ACY68926,CERT OF TITLE-SALVAGE,"170,412 A",ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/90123855/salvage-2023-kia-forte-lx-ks-wichita,90123855,"19,631 USD",03/16/2026 09:00 pm GMT+4,2023,KIA,FORTE,2  L  4,4,3KPF24AD5PE636296,CERT OF TITLE-SALVAGE,"23,508 A",ACTUAL,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/90015585/salvage-2016-chevrolet-silverado-k1500-lt-ks-wichita,90015585,"22,343 USD",03/16/2026 09:00 pm GMT+4,2016,CHEV,SILVERADO,5.3L  8,8,3GCUKREC6GG201071,CERT OF TITLE-SALVAGE,"104,903 A",ACTUAL,ROLLOVER,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/89866715/salvage-2024-nissan-sentra-sv-ks-wichita,89866715,"19,976 USD",03/16/2026 09:00 pm GMT+4,2024,NISS,SENTRA,2.0L  4,4,3N1AB8CV5RY341193,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/89737515/salvage-2015-ford-focus-se-ks-wichita,89737515,"5,721 USD",03/16/2026 09:00 pm GMT+4,2015,FORD,FOCUS,2.0L  4,4,1FADP3F25FL296265,CERT OF TITLE-SALVAGE,0 N,NOT ACTUAL,FRONT END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/89728515/salvage-2015-mercedes-benz-glk-350-4matic-ks-wichita,89728515,"15,781 USD",03/16/2026 09:00 pm GMT+4,2015,MERZ,GLK,3.5L  6,6,WDCGG8JB6FG439870,CERT OF TITLE-SALVAGE,"111,500 A",ACTUAL,REAR END,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/87268395/salvage-2015-ford-f150-supercrew-ks-wichita,87268395,"16,558 USD",03/16/2026 09:00 pm GMT+4,2015,FORD,F150,2.7L  6,6,1FTEW1EP1FKD20795,CERT OF TITLE-SALVAGE,"222,787 A",ACTUAL,FRONT END,175 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/86685145/clean-title-2015-toyota-camry-le-ks-wichita,86685145,"14,427 USD",03/16/2026 09:00 pm GMT+4,2015,TOYT,CAMRY,2.5L  4,4,4T1BF1FK8FU980502,CERTIFICATE OF TITLE,"132,211 A",ACTUAL,HAIL,825 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
https://www.copart.com/lot/86448945/clean-title-2013-dodge-journey-sxt-ks-wichita,86448945,"4,538 USD",03/16/2026 09:00 pm GMT+4,2013,DODG,JOURNEY SXT,3.6L  6,6,3C4PDCBG4DT587665,CERTIFICATE OF TITLE,"222,721 A",ACTUAL,HAIL,0 USD,0 USD,0,KS - WICHITA,0,N/A,N/A
